reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
ff479260-2a43-4550-9862-3a0d16879170,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,jelek ngelag,1,0,,2026-05-09 19:03:41,,,
11eef1d9-bcd9-479c-ad83-69b493b3cf55,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,woi Roblox tolong bantuin akun gw kembalikan soal di curi orang orang nya gak mau tanggung jawab nama akun Roblox nya AKU_EAY2 nanti ku kasih reting nya 5 bintang,5,0,2.720.1167,2026-05-09 19:02:00,,,2.720.1167
deb90458-cc3b-4cd2-aeca-2b517f62fd6c,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,ini gimana akun saya tidak bisa di masuki udah di uninstal tapi malah gak bisa sandi ya trus pake no way juga gak ada yang indo trus pake gemai juga gak gak ada kode ya,1,1,2.717.985,2026-05-09 19:01:53,,,2.717.985
5ab68163-0c9c-4d77-a04e-486df6c22aef,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,bagus banget,5,0,2.719.1340,2026-05-09 19:01:06,,,2.719.1340
a7695c25-7ec2-401e-9a75-46598d6df695,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,apaan sih gua cuma putar lagu langsung di gak bisa onn mic 5 menit tolong perbaiki,2,0,2.719.1340,2026-05-09 19:00:35,,,2.719.1340
40f9c69a-b5d1-407c-ac80-3b1a6e0c7cf7,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Roblox makin kesini makin parah (btw jangan salahin David Basucki Mulu,pelaku sebenarnya bukan dia tapi pemberi Ide Update) adanya Roblox Plus beberapa hal jadi berbayar,dan pemisahan antara Roblox Kids dan Roblox Select kurang ketat,karena predator sekarang tuh banyak yang pintar² buat nyari celah,jadi mau kalian Update pun 70-80% percuma,dan sekarang pemberian UGC gratis dari Marketplace jadi hilang,gw gak tau apa yang terjadi jika Eric Cassel lihat update ini (bukan bermaksud menghina kalian)",3,205,2.719.1340,2026-05-09 19:00:13,,,2.719.1340
373fd1fd-bebc-4787-9f53-f1184bdaf44d,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,game ini seru dan enak bisa mabar dengan teman jadinya seru banget apalagi main tower atau dll pokoknya seru banget aku suka updatenya update admin abuse gila enak banget tih,5,0,,2026-05-09 18:59:32,,,
ac54fa15-9bd7-458e-ae31-db9008bf8d1c,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"good, udah dari 2020 main game ini tapi bru nge rate skrg, wkwkwk. jjur msih bnyak bug yg blum difiks kyk ava kita tiba² loncat sendiri dan hrus ke setting biar balik awal, kamera ga bisa gerak dan zoom out waktu ss manual pake 3 jari, dan roblox malah pentingin update yg gak penting 🗿, meskipun ada beberapa update yg harus dilakuin pihak roblox biar gamenya tetep ""ada"", karna update itu bnyak player yg sok mw pensi dan ngedrama sana sini, pdhal klo gmwu main ywdh gausah ngabarin se sosmed 🥲💔",5,0,2.720.1167,2026-05-09 18:59:26,,,2.720.1167
54cda900-5d2b-4e71-b449-55d991942941,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Roblox bagus,tapi bug nya itu yg GK bagus selalu tiba tiba keluar lagi tolong di perbaiki ya",3,0,2.715.1115,2026-05-09 18:58:52,,,2.715.1115
2cd09a1f-993a-455a-8de2-1bc0a6e44a7f,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"haiiii developer^^ aku suka bngt ama game ini, aku pemain lama roblox dr 2022 ampe sekarang heheheh, btw mohon di kembangkan lg ya keamanan roblox nya 😔🙏soal nya bnyk map map yg bersifat negatif bagi anak anak jd tolong di blokir ya map map yg bersifat negatif nya 🙏ini udh bagus kok game nya 😊",5,0,2.720.1167,2026-05-09 18:57:34,,,2.720.1167
